Song,RB1,RB2,RB3,NRB1,NRB2,NRB3,JLTD
Ba-Lue Bolivar Ba-Lues-Are,,27,,,,,
Baby Breeze,,,,,,,26
Baby Come To Me,,,,,,43,
Baby It's Cold Outside,,,,,25,,
"Baby, I Love You",,,,26,,,
Background Music,,,,,,,27
Backstage Sally,,21,,,,45,
Bags And Traie,,22,,,,,
Bags And Trane,,22,,,,,
Bags' Groove,,23,,,,,
Baja Bajo,,,,,27,,
Bakai,,,,,,,29
Ballad For Anita,,,22,,,,
Ballad For Trane,,,23,,,,
Ballad For Two Musicians,,,,,,49,
"Ballad, A (ferry Mulligan)",,,,,,,51
Ballet,50,,,,,,
Band Aid,,,,,,,28
Barbados,,24,,,,,
Barbara,,25,,,,,
"Bark for Barsdale, A",,,,,,,25
Basin Street Blues,,26,,28,,,
Bass Blues,,,,,29,,
Batter Up,,,,,,,31
Batterie,51,,,,,,
Be Bop,,28,,,,,
Be My Love,,,25,,,,
Bea's Flat,,,,,,,30
Beach Wise,,,,,,,54
Beatrice,,,,,,,30
Beautiful Friendship,,,24,,,,
Beautiful Love,52,,,29,,,
Beauty And The Beast,53,,,,32,,
BEAUTY AND THE BLAST,53,,,,,,
Beethoven's Blue 3rd,,28,,,,,
Bemsha Swing,,,,,,,29
Beneath It All,54,,,,,,
Berkshire Blues,,,,,,,32
Bernie's Tune,,,31,30,,,
Berrie's Tune,,,31,,,,
Beside Myself,,,27,,,,
"Bess, You Is My Woman Now",,,29,,,,
Bessie's Blues,55,,,,33,,
Best Thing For You Is Me,,,32,,,,
Better Git It In Your Soul,,29,33,,,,
Bewitched,56,,,,,,
Beyond All Limits,,30,,,,,
Beyond The Bluebird,,,34,,,,
"Beyond The Bluebird,",,,34,,,,
Big Bear,,,,,,,34
Big Ben,,,,,,,33
Big Bertha,,,,,,,35
Big Nick,57,,,,,,
Big P,,411,,,,,
Big Push The,,,,,,,37
Bill's Hit Tune,,412,,,,,
Billie's Bounce,,31,,,,,
Bills' Hit Tune,,212,,,,,
Bird Calls,,,,,,,35
Bird Food,,,,31,,,
Bird Of Beauty,,,,,,53,
Birdland,,33,,,,,
Birds Mother,,,,,,,38
Birk's Works,,44,,,,,
Birth Of The Blues,,32,,,,,
Bitter Suite In The Ozone,58,,,,,,
Black,,,,,,,39
Black And Blue,,,,,34,,
Black And Tan Fantasy,,35,,,,,
Black Bats and Poles,,,,,,,40
Black Coffee,,,,,35,,
Black Diamond,59,,,,,,
Black Eyes,,,,,,,41
Black Ice,,,,32,,,
Black Monday,15,,,,,,
Black Narcissus,60,,,34,,,
Black Nile,61,,,,,56,
Black Orpheus,62,,,,,,
Blame It On My Youth,,,,35,,,
Blessed Relief,63,,,,,,
Blizzard Of Lies,,,,36,,,
Bloomdido,,36,,,,,
Blue A La Mode,,39,,,,,
Blue And Sentimental,,37,,,,,
Blue Bossa,64,,,38,,,
Blue Comedy,65,,,,,,
Blue Concept,,,,,,,45
Blue Daniel,,,35,39,,,
Blue Fable,,,,,,,43
Blue Hawk,,,,,,,46
Blue In Green,66,,,,,,
Blue Lace,,,,,,,44
Blue Monk,67,,,,,,
Blue Moon,,38,,,,57,
Blue Room,68,,,,,,
Blue Samba,,,,,,,46
Blue Seven,,40,,,,,
Blue Silver,,42,,,,,
Blue Skies,,,,,,,47
Blue Spirits,,,,,,59,
Blue Train,71,,,,,,
Blue Tuesday,,,,,,64,
Bluebird,,,36,,,,
Blues A La Mode,,39,,,,,
Blues Backstage,,,37,,,,
Blues By Five,,40,,,,,
Blues Connotation,,39,,40,,,
Blues For Alice,70,,,,38,,
Blues For Philly Joe,,41,,,,,
Blues For Wood,,41,,,,,
Blues For Yna Yna,,,,,39,,
Blues In The Closet,,43,,,,,
Blues On The Corner,,,,41,,,
Blues Peru,,,,,,,45
Bluesette,69,,,,,,
Bob Movers Bossa Nova,,,,,,,48
Bockhanal,,,,,,,31
Body and Soul,72,,,,41,65,
Bohemia After Dark,,413,,,,,
Bolivia,,,38,,43,,
Bones From !ones,,,,,,,36
Bongo Hop,,,,,,,54
Boogie Down,,,,42,,,
Boogie Stop Shuffle,,45,,,,,
Booker's Waltz,,46,,,,,
Bop Boy,,,41,,,,
"Bop Boy,",,,41,,,,
Bop City,,,,,,,56
Bop Shop,,,39,,,,
Boplicity,73,,,,,,
Born To Be Blue,,,42,,,,
Bossa Rokka,,,43,,,,
"Bossa Rokka ,",,,43,,,,
Boston Marathon,74,,,,,,
Both Sides Of The Coin,,,,48,,,
Bottoms Up,,,,,,,42
Bouncin' With Bud,,47,,50,,,
Bouncing With Bud,,47,,,,,
"Boy Next Door, The",,,44,,46,,
Boy What A Night,,,,,,,50
Brainville,75,,,,,,
Branilian Beat,,48,,,,,
Brazilian Beat,,48,,,,,
Breakfast Wine,,,,52,,,
Breakin' Away,,,,54,,,
"Breakthrough, The",,,,,,,50
Brian's Song,,49,,,,,
Bridgitte,,,,,,,52
Bright Blues,,,,,,,56
Bright Boy,,50,,,,,
Bright Moments,,51,,,,,
Bright Size Life,77,,,,,,
Brilliant Corners,,52,,,,,
Broadway Blues,78,,,,,,
Brothers Of The Bottom Row,,,,,,68,
Brown Skin Girl,,53,,,,,
Brownie Speaks,,,,,,,53
Brownout,79,,,,,,
Bruh Slim,,,,,,,55
Bu's Delight,,,,,,69,
Bud Powell,,,45,,,73,
Bud's Blues,,,47,,,,
Bud's Bubble,,55,,,,,
Bud's Idea,,,,,,,55
Budo,,54,,,,,
Buhaina's Delight,,,,,,,57
Bunko,,56,,,,,
Busch-Wacked,,,48,,,,
Buster Rides Again,,44,,,,,
Busy B's,,,,,,,49
But Beautiful,80,,,57,,,
But Not For Me,,57,,,,,
Butch and Butch,,,,,,,58
Butterfly,81,,,,,75,
Buzzy,,,49,,,,
By Myself,,,50,,,,
Bye Bye Baby,,,51,,,,
"Bye Bye Baby,",,,51,,,,
Bye Bye Blackbird,,58,,,47,,
Bye-Ya,,,,,,,58
Byrdlike,,414,,,,,
C Jam Blues,,62,,,,,
C'est What,,64,,,,,
C- Jam Blues,,62,,,,,
C.T.A.,,,,,,,79
Cafe,,,,,49,,
Can't Stop The Wind,,,,,,77,
Can't We Be Friends,,59,,,,,
Cantelope Island,,,,,,,69
Canyon Song,85,,,,,,
Capim,,,,,51,,
CAPTAIN,83,,,,,,
Captain Marvel,83,,,,,,
Caravan,,60,,,,83,
Careful,,61,52,,,,
Careless Love,,62,,,,,
Cariba,,,,,,,95
Carly and Carole,,,,,,,61
Casa de Luz,,,,,,,63
Casa Forte,,,,,53,,
Cascades,,,,,,,60
Cat Walk,,,,,,,62
Catch Me,,63,,,,,
Cathy,,,,,,,59
Celia,,,53,,,,
Central Park West,169,,,,55,,
Ceora,86,,,,,86,
"Certain Smile, A",,,55,,,,
Chain Of Fools,,,,58,,,
Chairs And Children,,,,,,87,
Chameleon,,65,,,,,
Change Of Mind,,,,60,,,
Charcoal Blues,,,,,,,61
Chariots,,,56,,,,
Charles Christopher Parker,,,,,,,70
Charmed Circle,,,,,57,,
"Chase, The",,66,,,,,
Chasin' The Train,,69,,,,,
Chasing the Bird,,,,,,,59
Cheek To Cheek,,,57,,,,
Cheese Cake,,67,,,,,
Chega De Saudade,87,,,62,,,
Chelsea Bells,89,,,,,,
Chelsea Bridge,90,,,64,,,
Cherokee,91,,,,59,,
Cheryl,,,60,,,,
Cheshire Cat Walk,,,,,,,64
Chesney,,,,,,,65
Chick's Tune,,,,,,89,
Chicken Feathers,92,,,,,,
Chief Crazy Horse,,,,,,,66
Children Of The Night,,,,,,,77
Children's Song,93,,,,,,
Chippie,98,,,,,,
Choices,,,,,61,,
Chromazone,,,,,63,,
Chronic Blues,,,,,,,67
Circle,,68,,,,,
Circular Motion,,,,,,91,
Circumstantial,,,,,,,68
Cirrus,,,,,,95,
Clockwise,,,,,67,,
Close Enough For Love,,,61,,,,
Close Your Eyes,,,,,,99,
Cold Duck Time,,,,,68,,
Colors Of Chloe,95,,,,,,
Come Rain Or Come Shine,,70,,,,,
Come Sunday,101,,,65,,,
COME SUNDAY -88,101,,,,,,
Comin' Home Baby,,71,,,,,
Comin' On The Hudson,,,,,,,68
Comin'Down,,,,,,,71
Como En Vietnam,99,,,,,,
Compared To What,,,,66,,,
Compensation,,,62,,,,
"Comrad,Conrad",,,,,,,72
Con Alma,102,,,,,,
Conception,103,,,,,,
Conference Of The Birds,104,,,,,,
Confessin (That I Love You),,72,,,,,
Confirmation,105,,,,,,
Connies Bounce,,,,,,,74
Consternation,,,,,,,76
Contemplation,16,,,,,,
Cookin',,73,,,,,
Cookin' At The Continental,,,,,,,71
Cool Blues,,71,,,,,
Cool Eyes,,,63,,,,
Cool Green,,,,,,100,
"Cool One, The",,,,,,,75
Coral,106,,,,,,
Corcovado,107,,,,,,
"Core, The",,73,,,,,
"Cork ""N"" Bib",,77,,,,,
Cork 'N' Bib,,77,,,,,
Cottontail,108,,,,,,
Could It Be You,109,,,,,,
Countdown,110,,,,,,
Country Roads,111,,,,,,
Cousin Mary,,69,,,,,
CRABFEATHERS,378,,,,,,
Crazeology,,74,,,,,
Creek,,,,69,,,
Creepin',,,,,,101,
Crepuscule With Nellis,,,,,,,69
Crescent,112,,,,,,
Crescent City,,,,,,,78
Crisis,,,,,,,63
Criss Cross,,75,,,69,,
Criss/Cross,,75,,,,,
Cry Me A River,,,65,,,,
Crystal Love,,,,70,,,
Crystal Silence,113,,,,,,
Cubano Chant,,,,72,,,
Cunga Black,,,,,,,80
Cut Of This World,,,233,,,,
Cute,,76,,,,,
Cyclic Episode,,,,,,,80
D Minor Mint,,,,,,104,
Daahoud,114,,,,,,
Dacapolypso,,,67,,,,
"Daddy's Girl, Cynthia",,,,,,105,
Dahomey Dance,,,,,,,81
Dakar,,,,,,,82
Dance Cadaverous,,,,,,,83
Dance Of The Infidels,,,,,,,81
Dancing In The Street,,,,,,107,
Dancing On The Ceiling,115,,,,,,
Darius Dance,,,,,,109,
Darn That Dream,116,,,74,,,
Dat Dere,,,,,,,84
Day By Day,,,,,72,,
Day Dream,,,66,,,111,
"Day In Vienna, A",,78,,,,,
"Day In, Day Out",,,69,,,,
Day Waves,119,,,,,,
Days And Nights Waiting,117,,,,,,
"Days Of Wine And Roses, The",118,,,,,,
De Pois De Amor O'vazio,123,,,,,,
Dear Lord,,,,,73,,
Dear Old Stockholm,121,,,,,,
Dearly Beloved,120,,,75,,,
Deception,,,,,,,86
Decidedly,,,,,,,87
Decision,,415,,,,,
Dee Song,,,,,75,,
Dee's Dilemma,,,,,,,88
Deep Purble,,79,,,,,
Deep Purple,,79,,,,,
Deja Vu,,,,,,,89
Del Sasser,,,,,,,90
Delevans,,,,76,,,
Delgado,,,,,78,,
Delores,122,,,,,,
Deltitnu,,,,,,,300
Deluge,129,,,,,,
Desafinado,125,,,78,,,
Desert Air,127,,,,,,
Desert Moonlight,,,,,,,91
Desire,,,,80,,,
Detour Ahead,,,,,80,,
Devil May Care,,,,,81,,
Dewey Square,,80,,,,,
Dexter,,,,,,112,
Dexterity,130,,,,,,
Diane,,81,,,,,
Did You Call Her Today,,,,,,,94
Dienda,,,,,,114,
Dig,,,71,83,,,
Dilemma,,,,,,,93
Dimples,,,,,,,93
Dindi,,82,,84,,,
"Disguise, The Sphinx, The",17,,,,,,
Divertamento,,,,,,115,
Dizzy's Business,,,,,,,96
Django,133,,,,83,,
Do Nothing 'Til You Hear From Me,,84,,444,,,
Do Nothing Till You Hear From Me,,84,,,,,
Do You Know What It Means (To Miss New Orl,,87,,,,,
Do You Know What It Means (To Miss New Orleans),,87,,,,,
Doce Presenca,,,,,85,,
Dogs In The Wine Shop,,,,,87,,
Doin' The Pig,131,,,,,,
Doin' The Things,,,,,,,97
Dolphin Dance,135,,,,,118,
"Dolphin, The",134,,,,,,
Domingo,,83,,,,,
Domino Biscuit,136,,,,,,
Don't Ask Why,,,73,,,119,
Don't Be That Way,,,,,,120,
Don't Blame Me,138,,,,,,
Don't Ever Go Away,,,74,,,,
Don't Explain,,,,,,,97
Don't Forget The Poet,,,,,89,,
Don't Get Around Much Anymore,139,,,445,,,
Don't Go To Strangers,,,,87,,,
Don't Look Back,,,75,,,,
Donna Lee,137,,,,,,
Doodlin',,,,,,,98
Doors,,,,88,,,
Double Clutching,,,77,,,,
Double Talk,,,,,,,95
"Double Up, The",,,,,,122,
Down,,,,,,,99
Down For Double,,85,,,,,
Doxy,,86,,,,,
Dr Jeckyll,,,,,,,96
Dream Dancing,,,78,,,,
Dreamin',,,,,,123,
"Drive, The",,88,,,,,
Duff,,77,,,,,
Duke's Sound Of Love,,,,,,,100
"Duke, The",140,,,,91,,
E.K.'s Blues,,99,,,,,
E.S.P.,154,,,103,,,
E.T.A.,,,,,,,120
Eager Beaver,,,,,,,101
Early,,,,,,,102
Early Autumn,,89,,89,,,
Early Spring,,,,,,,114
East Of The Sun,,,79,,,,
Easy,,,,90,,,
Easy Living,142,,,,,,
Easy To Love,143,,,,,,
Ebony Moonbeams,,,,,,,103
Ecaroh,,,,,93,,
Ecclusiastics,144,,,,,,
Eclipse (Henderson),,,,,,,104
Eclipse (Mingus),,,,,,,104
Eclypso,,90,,,,,
Edda,,,,,,,105
Eiderdown,145,,,,,,
Eighth Day The,,,,,,,106
Eighty One,147,,,92,,,
Ein Bein Strauss,,,,,,,107
Einbahnstrasse,,99,,,,,
El Gaucho,148,,,,,126,
El Toro,,,,,,,110
Elevation,,,,,,,107
ELIZETE,149,,,,,,
Elizette,149,,,,,,
Ellipsis (Helias),,,,,,,108
Ellipsis (Rivers),,,,,,,109
Elm,,,,94,,,
Elora,,91,,,,,
Elsa,,,,,,,109
Elvin Sir Jones,,,,,,,110
Emanon,,,80,,,,
Embraceable You,,92,,,,,
Emily,,,81,,,127,
Empathy,150,,,,,,
Enchance,,93,,,,,
"End Of A Love Affair, The",,,82,,,,
Endangered Species,,,,96,,,
Endlessly,,,83,,,,
Epilogue,,94,,,,,
Epistrophy,151,,,,,,
Equinox,152,,,,97,,
Equipoise,153,,,,,,
Erlcloth,,,,,,,113
Eronel,,,,,,,114
Escapade,,,,,,,115
Escher Sketch,,,,,100,,
ESP,154,,,,,,
Estate,,,85,,,,
Estimated Time Of Arrival,,,,,,,116
Etemal Triangle,,,86,,,,
Eternal Child,,,,,107,,
Eternal Triange,,,,,,,121
Eternal Triangle,,,86,,,,
Ev'ry Time We Say Good Bye,,,87,,,,
Evening In Concert,,95,,,,,
Evening In Convert,,95,,,,,
Evergreenish,,,,,,,117
Every Now And Then,,,,,,,118
Every Time I See You,,,,,,,119
Every Time We Say Goodbye,,,87,,,,
Everything Happens To Me,,,89,104,,,
Everything I Have Is Yours,,96,,,,128,
Everything I Love,,,90,,,,
Evidence,,,,,,,119
Exactly Like You,,,,,110,,
Exercise #3,155,,,,,,
Exercise #6,156,,,,,,
Exodus,,,,,,,122
Expression,,,,,111,,
Eye Of The Hurricane,,97,,,,,
Ezz-Thetic,,98,,,,,
Fables Of Faubus,157,,,,,,
Face Dancer,,,,,,,125
Fair Weather,,,,,,,123
Fall,159,,,106,,,
Fall With Me,,,,,,129,
Falling Grace,160,,,,112,,
Falling In Love With Love,161,,,,,,
Fanhandle Hook,,,239,,,,
Farkle Flakes,,,,,,,136
Farmer's Market,,,,107,,,
Fat Lady,,,,,,,124
Father,,,91,,,,
Favela,,,92,108,,,
Fee-Fi-Fo-Fum,162,,,,,,
Feel Like Makin' Love,,,93,109,,,
Feelings And Things,163,,,,,,
Feels So Good,,101,,,,,
Fell Like Makin' Love,,,93,,,,
"Fields We Know, The",164,,,,,,
Filthy McNasty,,,,,113,,
Fine And Dandy,,,,,,,126
Fire,,,,110,,,
First Light,,,,111,,,
First Moves,,103,,,,,
First Trip,,104,,,,,
Five,,,,,,,127
Five Brothers,,105,,,,,
Five Hundred Miles High,165,,,,115,,
Five Spot After Dark,,111,,,,,
Five-Four Thing,,,,,,,128
Flags,169,,,,,,
Flamingo,,,,,117,,
Flim Flam,,106,,,,,
Flintstone's Theme,,107,,,,,
Florences Fantasy,,,,,,,130
"Flower Is A Lonesome Thing, A",,108,,,,,
"Flower Is A Lovesome Thing, A",,108,,,,,
Flowers For A Lady,,,,,,,131
Fly By Night,,109,,,,,
Fly Me To The Moon,,113,,,118,,
Flying Home,,112,,,,,
Follow Your Heart,167,,,,,,
Foolkiller,,,,112,,,
Fools Rush In,,114,,,,,
Footprints,170,,,113,,,
For All We Know,,,,,,132,
For Harry Carney,,,,,,,133
For Heaven's Sake,172,,94,,,,
FOR HEAVENS SAKE,172,,,,,,
For Heavens' Sake,,,94,,,,
For Miles And Miles,,,,,,,131
For Minors Only,,115,,,,,
For Regulars Only,,,,,,,135
Forest Flower,171,,,,,,
Forever,,,,,119,,
Forgetful,,,,,,,132
Fortune Smiles,173,,,,,,
Four,174,,,114,,,
Four Brothers,,116,,116,,,
Four On Six,175,,,117,,,
Four Others,,,,,,,137
Four Winds,176,,,,,,
FourIn One,,,,,,,124
Fox Hunt,,117,,,,,
"Foxhorn Song,The",,,,,,,138
Freddie Froo,,118,,,,,
FREDDIE THE FREELOADER,177,,,,,,
Free,,123,,,,,
"Free Cell Block ""F"", 'Tis Nazi U.S.A.",,119,,,,,
"Free Cell Block ""F"", Tis Nazi USA",,119,,,,,
Free Wheeling,,,,,,,137
Freedie The Freeloader,177,,,,,,
Freedom Jazz Dance,178,,,,122,,
Freedomland,,,,,,133,
Freight Trane,,,95,,,,
French Spice,,,,,,,139
French Waltz,,,96,,,,
Friday Night At The Cadillac Club,,,,,123,,
Friday The 13th,,121,97,,,,
Friends,,,,,126,,
Friends And Strangers,,,,118,,,
From Day To Day,,,,,,135,
From Now On,,,98,,,,
From The Heart,,,99,,,,
From This Moment On,,,101,,,,
Full Moon And Empty Arms,,,102,,,,
Fun To Be Fooled,,,,,,,134
Funk Dumplin,,111,,,,,
Funk Dumplin',,111,,,,,
Funk In Deep Freeze,,,,,,,140
Funkallero,,,103,121,,,
Funky,,123,,,,,
Fuschia Swing Song,,,,,,,140
Gail,,,,,,,141
Games People Play,,124,,,,,
Gandolfo's Bounce,,,,,,,141
Gary's Notebook,,,,,,,143
Gary's Waltz,179,,,,,,
Gaslight,,,,,,,142
Gaviota,,,105,122,,,
"Gee Baby, Ain't I Good To You",,,,125,,,
Gemini,180,,,126,,,
General Mojo's Well Laid Plan,181,,,,,,
GENTLE RAIN,182,,,,,,
"Gentle Rain, The",182,129,,,,138,
Gentle Wind and Falling Tear,,125,,,,,
Georgia,,126,,,,,
Geraldine,,,,,127,,
Gertrude's Bounce,,,,,129,,
Get Happy,,,,,131,,
Get Out Of Town,,127,,,,,
Get Ready,,,,,,139,
Gettin' It Togetha',,124,,,,,
"Ghost Of A Chance, A",,128,,,,142,
Giant Steps,183,,,,133,,
Gibraltar,,,,,,,144
Giggin' And Drinkin',,,,,,,146
Ginseng People,,,,,,,145
"Girl From Ipanema, The",184,,,,,,
Girl Talk,,129,,,,,
Gloria's Step,185,,,131,,,
Gnid,,,,,,,146
Gnu Blu,,,104,,,,
Go,,,,,,,147
God Bless The Child,186,,,,,,
Godchild,,,107,,,,
Goin' Home,,,,132,,,
Golden Lady,187,,,,,,
Golden Notebooks,,131,,,,,
Gone With The Wind,,,108,137,,,
Good Bait,,130,,,,,
GOOD EVENING MR AND MRS AMERICA,189,,,,,,
"Good Evening, Mr. And Mrs. America",189,,,,,,
"Good Morning, Heartache",,,,446,,,
Good Spirits,,,,,,,148
Goodbye,,,109,,,,
"Goodbye Look, The",,,,138,,,
Goodbye Porkpie Hat,188,,,,,,
Goswell,,,,,,,149
Got A Match?,,,110,,134,,
Grand Central,191,,,,,143,
Granted,,,,,,,148
Green Dolphin Street,192,,,,,,
Green Mountains,193,,,,,,
"Greene St Caper, The",,,,,,,150
Greenwich,,,,,,,151
Gregory Is Here,,133,,,135,,
Gringo The,,,,,,,153
Groove Merchant,,135,,,,,
Groove Yard,,136,,,,,
GROOVIN' FISH,194,,,,,,
Groovin' High,194,,,,,,
Groovy Samba,,137,,,,,
Grow Your Own,195,,,,,,
Growing,,,,,138,,
Guaruja,,,,142,,,
Guijira,,,,,,,186
Gush,,,,,,145,
H & H,,,119,,,,
H&H,,,119,,,,
Hackensack,,138,,,,,
"Half Dozens, The",,,,,,,154
Half Nelson,197,,,,,,
Hallucinations,,139,,144,,,
Happiness Is A Thing Called Joe,,,,,,,158
Happy Little Sunbeam,,140,,,,,
Hard Eights,,,,,,149,
Harlem Nocturne,,,111,,139,,
Harlequin,,143,,,,,
Harold's House Of Jazz,,,,,,,155
Hassan's Dream,198,,,,,,
Haunted Ballroom,,,,147,,,
Have You Met Miss Jones,199,,,,,,
Havona,,141,,148,,,
Hayseed,,,,,,,160
Head And Shoulders,,144,,,,,
Heartsong,,,113,,,,
Heat Wave,,,,,,151,
Heaven,200,,,,,,
Hello,,147,,,,,
"Hello, Young Lovers",201,,,,,,
Henninger Flats,203,,,,,,
Here's That Rainy Day,204,,,150,,,
Here's That Sunny Day,,145,,,,,
Herzog,205,,,,,153,
Hey There,207,,,,,,
Heyoke,,,,,,,156
Hi Beck,,148,,,,,
Hi-Fly,,414,,,141,,
Hideaway,,,,152,,,
High Hopes,,,115,,,,
High Wire The Aerialist,,,117,,,,
Ho-Ba-La-La,,149,,,,,
Hocus Pocus,,150,,,,,
Hoe Down,,,,,,,157
Hold 'Em Joe,,,,,,,161
"Hold On, I'm Coming",,,,,,156,
Hold Out Your Hand,208,,,,,,
Homage,,,,,,,159
Homestretch,,,,,,,154
Homework,,,,,,,160
Honeysuckle Rose,,,,,146,,
Horacescope,,153,,,147,,
Horizon,,151,,,,,
Hot House,,,120,,,,
Hotel Hello,211,,,,,,
Hotel Overture,209,,,,,,
Hotel Vamp,210,,,,,,
House Of Chan,,,,,,,162
House Of Jade,214,,,,,,
How About You,,,121,,,,
How Deep Is The Ocean,,,122,,,,
How High The Moon,215,,,,,,
How Insensitive,216,,,,,,
How Long Has This Been Going On,,,123,,,,
How My Heart Sings,217,,,,,,
How Sweet It Is,,,,,,157,
"Hullo, Bolinas",218,,,,,,
Hummin',,154,,,,,
Humpty Dumpty,,155,,,,,
Hypochristmutreefuzz,,,,,,,163
I Believe In You,,157,,,149,,
I Can't Get Started,221,,,,,,
I Can't Help It,,,,,,159,
I Concentrate On You,,,125,,,,
I Could Write A Book,222,,,,,,
I Cover The Waterfront,,159,,,,,
I Didn't Know About You,,,,,,,164
I Didn't Know What Time It Was,,,124,,,,
I Fall In Love Too Easily,,,127,,,162,
I Get A Kick Out Of You,,165,,,,,
I Get Along Without You Very Well,,,,,,,167
I Got It Bad,226,,,,,163,
"I GOT IT BAD ,",226,,,,,,
I Got Rhythm,,,,,,,165
I Hadn't Anyone Till You,,,,,152,,
I Hear A Rhapsody,,167,,,,166,
I Heard It Through The Grapevine,,,,,,167,
I Left My Heart In San Francisco,,,128,,,,
I Let A Song Go Out Of My Heart,227,,,,,,
I Love Lucy,,,,155,,,
I Love You,228,,,,,,
I Loves You Porgy,,,135,,,,
"I Loves You, Porgy",,,135,,,,
I Mean You,232,,,156,,,
I Need You Here,,,129,,,,
I Only Have Eyes For You,,,,,,,175
I Remember Bird,,,,,,,168
I Remember Clifford,248,,,,,,
I Remember You,,176,,,,,
I Should Care,250,,,158,,,
I Surrender Dear,,,,,,,174
I Thought About You,,181,,159,153,,
I Waited For You,,,,,,,181
I Wanted To Say,,,,,,171,
I Will Wait For You,,186,,,,,
I Wish You Love,,,131,,,,
I Won't Be Back,,,,,,,182
I'll Be Around,,,133,,157,,
I'll Be Seeing You,,,136,,,,
